Date,T(off-chip),L(lux),T2(on-board),H(rel%),T3(hum-sensor),P(Pa),M(5sec)
2021-04-26 23:30:01.942652,8,0,25,44,27,101644,1
2021-04-26 23:45:02.151608,7,,28,37,29,101643,0
2021-04-27 00:00:01.352293,7,,28,36,30,101642,1
2021-04-27 00:15:01.552646,7,,27,37,29,101636,0
2021-04-27 00:30:01.827548,7,,28,36,30,101638,1
2021-04-27 00:45:02.039713,7,,28,34,30,101633,0
2021-04-27 01:00:01.252073,6,,26,40,28,101640,0
2021-04-27 01:15:01.462189,6,,25,43,27,101622,0
2021-04-27 01:30:01.716284,7,,24,43,26,101606,0
2021-04-27 01:45:01.910194,7,,26,37,28,101600,0
2021-04-27 02:00:02.117364,6,,27,34,29,101589,0
2021-04-27 02:15:01.326192,6,,27,34,29,101576,0
2021-04-27 02:30:01.589018,5,,27,34,29,101571,0
2021-04-27 02:45:01.800810,5,,27,34,29,101565,0
2021-04-27 03:00:02.021227,5,,27,35,28,101559,0
2021-04-27 03:15:01.226036,5,,25,41,27,101550,1
2021-04-27 03:30:01.480609,5,,24,42,26,101542,0
2021-04-27 03:45:01.688121,5,,24,42,26,101541,0
2021-04-27 04:00:01.896296,5,,24,43,26,101540,0
2021-04-27 04:15:02.106168,4,,24,45,26,101544,0
2021-04-27 04:30:01.362690,4,,24,44,26,101531,0
2021-04-27 04:45:01.569067,4,,24,43,26,101518,0
2021-04-27 05:00:01.774499,4,,24,44,26,101508,0
2021-04-27 05:15:01.970158,4,,23,44,26,101517,0
2021-04-27 05:30:01.216025,4,0,23,45,25,101505,1
2021-04-27 05:45:01.410959,4,2,23,45,25,101497,0
2021-04-27 06:00:01.618451,4,128,24,44,26,101495,0
2021-04-27 06:15:01.825437,10,241,24,42,26,101517,1
2021-04-27 06:30:01.648973,17,529,25,39,27,101525,0
2021-04-27 06:45:01.863598,23,614,26,36,28,101519,1
2021-04-27 07:00:02.064622,12,173,27,34,28,101516,0
2021-04-27 07:15:01.269652,8,325,27,33,28,101515,0
2021-04-27 07:30:01.521833,6,76,26,36,28,101516,0
2021-04-27 07:45:01.719500,13,76,26,37,28,101523,0
2021-04-27 08:00:01.927200,8,43,25,39,27,101523,0
2021-04-27 08:15:02.140994,6,43,25,40,27,101523,1
2021-04-27 08:30:01.392034,7,42,25,40,27,101525,0
2021-04-27 08:45:01.600062,8,50,25,41,27,101530,0
2021-04-27 09:00:01.802922,7,39,25,41,27,101524,1
2021-04-27 09:15:02.013605,9,39,25,40,27,101532,0
2021-04-27 09:30:01.271167,9,38,24,41,26,101529,0
2021-04-27 09:45:01.462160,8,36,24,40,27,101522,0
2021-04-27 10:00:01.670691,9,35,24,41,26,101516,0
2021-04-27 10:15:01.874262,9,36,24,40,26,101508,0
2021-04-27 10:30:02.128434,9,35,24,40,26,101512,0
2021-04-27 10:45:01.329202,9,36,24,40,26,101502,0
2021-04-27 11:00:01.542581,10,35,24,41,26,101497,0
